address,city,postcode,latitude,longitude
503 GERANIUM ST SE,ROCHESTER,55904,43.9607404,-92.4557066
504 GERANIUM ST SE,ROCHESTER,55904,43.9604565,-92.455657
602 GERANIUM ST SE,ROCHESTER,55904,43.9604764,-92.4547009
4307 DAFFODIL AVE SE,ROCHESTER,55904,43.9587229,-92.4542859
"602 11 AVE NW, STE 200",ROCHESTER,55901,44.0300088,-92.4784066
"608 11 AVE NW, STE 100",ROCHESTER,55901,44.029589,-92.4763973
"610 11 AVE NW, STE 200",ROCHESTER,55901,44.0294374,-92.4756147
2822 SALEM MEADOWS DR SW,ROCHESTER,55902,44.0036503,-92.5053823
3028 SALEM MEADOWS DR SW,ROCHESTER,55902,44.00559,-92.5077127
1136 COUNTY RD 7   SE,EYOTA,55934,44.004064,-92.2285893
3500 48 ST NE,ROCHESTER,55906,44.0671078,-92.4055893
4342 SOMERSBY LN NW,ROCHESTER,55901,44.0893881,-92.5276544
1809 3 AVE SE,ROCHESTER,55904,43.9956579,-92.4589178
207 LUELLA PL NE,STEWARTVILLE,55976,43.872559,-92.4848726
4040 COUNTY RD 3   NW,BYRON,55920,44.064258,-92.6052675
2719 KNOLLWOOD DR SE,ROCHESTER,55904,44.0018223,-92.4235177
135 5 ST SW,ORONOCO,55960,44.1585819,-92.5358975
9622 75 ST NW,BYRON,55920,44.1118087,-92.6303085
1536 75 ST NE,ROCHESTER,55906,44.10588,-92.4405507
1520 75 ST NE,ROCHESTER,55906,44.1075617,-92.4429746
1522 75 ST NE,ROCHESTER,55906,44.1076066,-92.4424115
4001 41 ST NW,ROCHESTER,55901,44.065504,-92.522137
3913 18 AVE NW,ROCHESTER,55901,44.0638243,-92.4893278
3923 18 AVE NW,ROCHESTER,55901,44.0638023,-92.4898663
3931 18 AVE NW,ROCHESTER,55901,44.0638327,-92.4902709
3933 18 AVE NW,ROCHESTER,55901,44.0638885,-92.4904247
3941 18 AVE NW,ROCHESTER,55901,44.0641484,-92.490434
